# step temp pe ke etotal press vol lx ly lz pxx pyy pzz
0 400.00000000000011369 -1476.9031721950916562 16.390186386000006991 -1460.5129858090915604 2337.0383901254458578 7474.7673964764326229 20.502711650097651841 18.163823159603751378 20.071466909726243699 2552.1943498988566716 2013.1110935357694416 2445.8097269417107782
100 206.01523744745205136 -1467.4420011567135589 8.441570350299466341 -1459.0004308064139877 -6407.3854417621150787 7474.7673964764326229 20.502711650097651841 18.163823159603751378 20.071466909726243699 -5274.6253742089384104 -7524.6354410474159522 -6422.8955100299872356
100 206.01523744745205136 -1467.4420011567137863 8.441570350299466341 -1459.0004308064142151 -6141.2894781563263678 7798.6416317114289996 20.807690694152402244 18.367453067374711395 20.405448349385519435 -5055.5724493666903072 -7212.1405651472814498 -6156.1554199550055273
200 233.72724696107911768 -1466.7972372486028689 9.5770828529468481349 -1457.2201543956559817 -3467.2014411968448258 7798.6416317114289996 20.807690694152402244 18.367453067374711395 20.405448349385519435 -3034.9978923553312598 -3826.2590791568345594 -3540.3473520783672939
300 254.91753322424094108 -1466.17708219706401 10.445364706511643504 -1455.7317174905524553 3653.9911646847672273 7798.6416317114289996 20.807690694152402244 18.367453067374711395 20.405448349385519435 2583.272686189533033 5600.5152362303142581 2778.185571634452117
400 219.73224559591668026 -1467.617148721182275 9.0036311508285056249 -1458.6135175703536788 5489.379568963505335 7798.6416317114289996 20.807690694152402244 18.367453067374711395 20.405448349385519435 5503.8180288053526965 5291.660400979078986 5672.6602771060843224
500 158.71259752231910056 -1469.5905115844334432 6.5033226379925306304 -1463.0871889464408468 -6888.6871540092415671 7618.7045619036516655 20.791975951142006807 18.019063944964059942 20.335419793575056246 -6011.2773187289158159 -8846.9183466826125368 -5807.8657966161963486
600 133.72402878406586524 -1471.5623795437199988 5.4794043901441717992 -1466.0829751535757168 -817.27425223735770032 7577.819311557032961 20.877353026425005567 17.961879359205262574 20.207706963401108169 -1397.8806037740537249 -1204.5467816180455429 150.60462868002559844
700 125.49699754292474552 -1471.7356460783098555 5.1422979515298026243 -1466.5933481267800289 5347.088500352236224 7577.819311557032961 20.877353026425005567 17.961879359205262574 20.207706963401108169 3615.2219565204509308 5799.8080323131107434 6626.235512223148362
800 148.29404639017556633 -1470.8972131173272828 6.0764176506727709537 -1464.8207954666545447 255.71271755891226007 7577.819311557032961 20.877353026425005567 17.961879359205262574 20.207706963401108169 1309.7722530998275943 -156.07672168586546491 -386.55737873722381437
900 170.81118591138221063 -1469.1974790666745321 6.9990679347531301602 -1462.1984111319213753 -4390.8647947915906116 7577.819311557032961 20.877353026425005567 17.961879359205262574 20.207706963401108169 -4664.3425401893673552 -4193.9102083853613294 -4314.3416358000413311
900 170.81118591138221063 -1469.1974790666743047 6.9990679347531301602 -1462.1984111319211479 -4370.8549960979780735 7612.5106108785948891 21.028325795040800017 17.916148048546141069 20.205917314496915083 -4643.0864643070235616 -4174.7979599033651539 -4294.6805640835427766
1000 201.7213064814641541 -1468.5827775181517154 8.2656245281465690056 -1460.31715299000507 151.76419243295600836 7612.5106108785948891 21.028325795040800017 17.916148048546141069 20.205917314496915083 -53.480791263950763437 152.32833205718893055 356.4450365056321175
